t_mono,changed,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479482,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479483,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
479484,0,0,0,0,0,0,0,0,0,0,0,0,0
